preco;endereco;metragem;quartos;vagas;banheiros;"
condomínio";"
IPTU";data
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
Sobconsulta
";Avenida Aquidabã, Centro;"
45-69m²";"
2";"
1";"
2";;;2021-07-20
"
Sobconsulta
";Rua Duque de Caxias, Centro;"
43-136m²";"
1";"
1";"
2";;;2021-07-20
"
R$202.900
";Avenida João Batista Morato do Canto, Vila Anhangüera;"
36-43m²";"
2";"
1";"
1";;;2021-07-20
"
R$850.000
";Avenida Rebouças, Jardim Paulista;"
135m²";"
3";"
1";"
1";900;256;2021-07-20
"
R$1.069.500
";Avenida dos Imarés, Moema;"
69m²";"
1";"
1";"
2";750;200;2021-07-20
"
R$1.220.000
";Rua Taquari, Móoca;"
126m²";"
4";"
2";"
4";1.200;300;2021-07-20
"
R$217.000
";Rua Jorge Chammas, Vila Mariana;"
120m²";"
3";"
3";"
3";;;2021-07-20
"
R$268.000
";Rua dos Caetés, Perdizes;"
120m²";"
3";"
3";"
3";;;2021-07-20
"
R$315.000
";Rua Dom João V, Lapa;"
130m²";"
3";"
3";"
3";;;2021-07-20
"
R$290.000
";Rua Américo Vespucci, Vila Prudente;"
125m²";"
3";"
2";"
3";;;2021-07-20
"
R$170.000
";Rua Eurico Sodré, Vila Medeiros;"
125m²";"
3";"
2";"
4";;;2021-07-20
"
R$370.000
";Rua dos Caciques, Saúde;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$325.000
";Rua Wilson Dupont, Santana;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$335.000
";Rua Bernardo de Vasconcelos, Tucuruvi;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$300.000
";Rua Antônio Pádua de Oliveira, Vila Libanesa;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$195.000
";Rua Comendador Bento Pereira, Cambuci;"
276m²";"
3";"
3";"
3";;;2021-07-20
"
R$215.000
";Rua Cafuz, Vila Jacuí;"
145m²";"
3";"
2";"
2";;;2021-07-20
"
R$330.000
";Rua Albertina Vieira da Silva Gordo, Vila Aurora;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$340.000
";Rua José Pereira Cardoso, São Miguel Paulista;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$310.000
";Rua Padre José de Anchieta, Santo Amaro;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$270.000
";Rua Filipe Bandeira, Vila Maria Alta;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$230.000
";Rua Gonçalves Morais, Parque da Vila Prudente;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$245.000
";Rua Benta Pereira, Santa Teresinha;"
143m²";"
3";"
2";"
2";;;2021-07-20
"
R$310.000
";Rua Gama Lobo, Vila Dom Pedro I;"
125m²";"
3";"
2";"
2";;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$295.000
";Rua Barão Geraldo de Resende, Botafogo;"
47m²";"
1";"
1";"
1";;;2021-07-20
"
R$199.000
";Rua Barão Geraldo de Resende, Botafogo;"
40-120m²";;"
1-2";"
1-2";;;2021-07-20
"
Sobconsulta
";Avenida Barão de Itapura, Guanabara;"
36m²";;;;;;2021-07-20
"
R$6.600.000
";Rua Volta Redonda, Campo Belo;"
385m²";"
3";"
5";"
5";4.577;2.807;2021-07-20
"
R$689.000
";Rua Ivaí, Tatuapé;"
89m²";"
3";"
2";"
2";580;160;2021-07-20
"
R$5.427.600
";Rua Clodomiro Amazonas, Itaim Bibi;"
191m²";"
3";"
2";"
5";;;2021-07-20
"
R$230.000
";Rua Antônio de Arzão, Vila Rui Barbosa;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$275.000
";Rua Joaquim Espinosa, Jardim São Luís;"
148m²";"
3";"
2";"
2";;;2021-07-20
"
R$315.000
";Avenida Melchert, Chácara Seis de Outubro;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$280.000
";Rua Uhland, Vila Ema;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$300.000
";Rua Benjamin Costa, Jardim Aeroporto;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$220.000
";Rua Aruaque, Vila Isolina Mazzei;"
143m²";"
3";"
2";"
2";;;2021-07-20
"
R$325.000
";Rua Virgínia Porto, Vila Medeiros;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$315.000
";Rua Padre Antão Jorge, Vila Progresso;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$380.000
";Rua Constantino Fraga, Vila Hamburguesa;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$320.000
";Rua Professora Marta Puccinelli, Parque São Lucas;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$280.000
";Rua Manuel João da Silva, Sapopemba;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$250.000
";Rua Ricardo Zacharias, Parque América;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$240.000
";Rua Regresso Feliz, Cohab Inacio Monteiro;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$220.000
";Rua Manuel Vaz, Jardim Consórcio;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$230.000
";Rua Guaruva, Cidade Dutra;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$315.000
";Rua José Manuel da Fonseca Júnior, Vila Matilde;"
125m²";"
3";"
2";"
2";;;2021-07-20
"
R$220.000
";Rua Comprida, Vila Mazzei;"
143m²";"
3";"
2";"
2";;;2021-07-20
"
R$260.000
";Rua Camilo, Vila Romana;"
140m²";"
3";"
2";"
2";;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
Sobconsulta
";Rua Coronel Quirino, Centro;"
172-288m²";"
3-4";"
3-4";"
3-4";;;2021-07-20
"
Sobconsulta
";Rua Coronel Francisco Andrade Coutinho, Cambuí;"
127m²";;"
2";"
3";;;2021-07-20
"
R$270.900
";Avenida João Batista Morato do Canto, Vila Industrial;"
45m²";"
1-2";;"
1";;;2021-07-20
"
R$15.476.000
";Avenida Doutora Ruth Cardoso, Alto de Pinheiros;"
813m²";"
4";"
4";"
6";9.400;5.373;2021-07-20
